Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
18-30,Male,Writing & reading,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dusk,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,0
18-30,Male,Elementary school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Other,Not a Pedestrian,Overtaking,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Rainy,Collision with pedestrians,Going straight,Not a Pedestrian,Brake failure,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Other,Not a Pedestrian,Running red light,0
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Gravel roads,Daylight,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,1
31-50,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Clear,Collision with animals,Overtaking,Not a Pedestrian,Running red light,0
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,1
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Dusk,Clear,Collision with roadside objects,Going straight,Not a Pedestrian,Drunk driving,2
Under 18,Male,Junior high school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Dusk,Rainy,Rollover,Going straight,Not a Pedestrian,Brake failure,0
31-50,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dusk,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,0
18-30,Male,Junior high school,Owner,1-2yr,Undivided Two way,No junction,Asphalt roads,Dusk,Stormy,Collision with roadside objects,Going straight,Not a Pedestrian,Speeding,1
18-30,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Overtaking,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Overtaking,0
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,1
Over 51,Male,Elementary school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Distraction,0
18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Clear,Collision with roadside objects,Going straight,Not a Pedestrian,Distraction,2
18-30,Male,Junior high school,Employee,2-5yr,One way,Other,Asphalt roads,Daylight,Clear,Rollover,Going straight,Not a Pedestrian,Drunk driving,0
Under 18,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Distraction,1
31-50,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Dawn,Rainy,Collision with pedestrians,Reversing,Not a Pedestrian,Poor road conditions,2
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Rainy,Collision with pedestrians,Going straight,Not a Pedestrian,Poor road conditions,2
31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,X Shape,Asphalt roads,Dusk,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Brake failure,2
Under 18,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,2
18-30,Male,Junior high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Rainy,Collision with roadside objects,Going straight,Not a Pedestrian,Drunk driving,2
Under 18,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Clear,Collision with pedestrians,Going straight,Not a Pedestrian,Brake failure,1
18-30,Male,Above high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Dusk,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,2
18-30,Male,High school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,2
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Rainy,Collision with pedestrians,Going straight,Crossing from driver's nearside,Running red light,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Unknown or other,Speeding,1
Over 51,Male,Junior high school,Employee,2-5yr,Double carriageway (median),O Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Speeding,2
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lights,Foggy,Vehicle with vehicle collision,Other,Not a Pedestrian,Brake failure,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Speeding,1
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,2
18-30,Male,Junior high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Rainy,Collision with roadside objects,Going straight,Not a Pedestrian,Speeding,2
31-50,Male,Elementary school,Owner,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Brake failure,0
18-30,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Clear,Collision with roadside objects,Moving Backward,Unknown or other,Poor road conditions,0
Over 51,Male,High school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Brake failure,1
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Speeding,2
18-30,Female,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Rainy,Collision with roadside objects,Going straight,Not a Pedestrian,Pedestrian jaywalking,1
Over 51,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Poor road conditions,2
Over 51,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Pedestrian jaywalking,0
Under 18,Male,Junior high school,Employee,5-10yr,other,No junction,Gravel roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lights,Windy,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Running red light,0
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lights,Clear,Collision with pedestrians,Going straight,Not a Pedestrian,Drunk driving,0
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,1
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Speeding,1
Over 51,Male,Illiterate,Owner,1-2yr,One way,No junction,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,1
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,2
31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,Crossing,Earth roads,Darkness - lights lit,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,2
18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Other,Dusk,Stormy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Brake failure,1
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,2
18-30,Male,Elementary school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads with some distress,Daylight,Rainy,Vehicle with vehicle collision,Other,Not a Pedestrian,Brake failure,1
18-30,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Poor road conditions,2
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Other,Not a Pedestrian,Pedestrian jaywalking,2
Over 51,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Clear,Collision with pedestrians,Going straight,Not a Pedestrian,Brake failure,0
31-50,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Clear,Collision with roadside objects,Moving Backward,Not a Pedestrian,Overtaking,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Foggy,Vehicle with vehicle collision,Other,Unknown or other,Poor road conditions,0
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,1
18-30,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Collision with pedestrians,Going straight,Not a Pedestrian,Poor road conditions,2
31-50,Male,Elementary school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Rainy,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Pedestrian jaywalking,1
31-50,Male,Elementary school,Owner,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Unknown or other,Pedestrian jaywalking,2
Over 51,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,0
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Stormy,Collision with roadside objects,Moving Backward,Not a Pedestrian,Distraction,2
18-30,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Speeding,2
18-30,Male,Junior high school,Owner,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Sudden lane change,0
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Clear,Collision with animals,Going straight,Not a Pedestrian,Speeding,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads with some distress,Darkness - no lights,Rainy,Collision with pedestrians,Other,Not a Pedestrian,Overtaking,0
18-30,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Dusk,Clear,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Poor road conditions,2
Over 51,Male,Illiterate,Owner,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Drunk driving,2
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Darkness - no lights,Rainy,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Speeding,2
18-30,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Stormy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,2
Under 18,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lights,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,1
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,1
Under 18,Male,Elementary school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,1
18-30,Male,Above high school,Other,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
18-30,Male,Writing & reading,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Pedestrian jaywalking,0
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dusk,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,1
Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lights,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,0
Over 51,Male,Junior high school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Dawn,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,1
Under 18,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,0
18-30,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Dusk,Clear,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Sudden lane change,1
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Sudden lane change,1
